skola	nazov	mesto	ulica	aj_n	aj_z
662030	Súkromné konzervatórium	Zvolen	Jesenského 42	2	3
662420	Súkromná škola úžitkového výtvarníctva	Kremnica	P. Križku 390/4	7	2.9
662550	Súkromná stredná umelecká škola	Zvolen	Môťovská 8164	24	2.3
662560	Súkromná stredná umelecká škola	Hodruša - Hámre	Kyslá 214	11	3.5
663001	Stredná odborná škola	Banská Bystrica	Pod Bánošom 80	33	2.8
663015	Stredná odborná škola služieb a lesníctva	Banská Štiavnica	Kolpašská 1586/9	31	3.9
663020	Stredná odborná škola techniky a služieb	Brezno	Laskomerského 3	22	2.8
663030	Spojená škola - Stredná odborná škola	Detva	Štúrova 848	13	3.1
663040	Stredná odborná škola - Szakközépiskola	Fiľakovo	Kalinčiakova 1584/8	21	2.7
663044	Stredná odborná škola hotelových služieb a dopravy	Lučenec	Zvolenská 83	68	3.3
663048	Spojená škola - Stredná odborná škola	Poltár	Železničná 5	3	3
663051	Stredná odborná škola	Revúca	Generála Viesta 6	10	2.7
663053	Súkromná stredná odborná škola	Revúca	Železničná 2	12	3.2
663055	Stredná odborná škola - Szakközépiskola	Tornaľa	Šafárikova 56	14	3.8
663060	Stredná odborná škola	Hnúšťa	Hlavná 425	7	3.3
663061	Súkromná stredná odborná škola	Hnúšťa	Francisciho 372	13	3.9
663064	Stredná odborná škola technická a agropotravinárska - Müszaki Mezögazdasági és Élelmiszeripari Szakközépiskola	Rimavská Sobota	Okružná 61	30	3.2
663068	Stredná odborná škola	Tisovec	Jesenského 903	36	2.6
663074	Stredná odborná škola	Veľký Krtíš	Poľná 10	35	3.9
663090	Stredná odborná škola	Žarnovica	Bystrická 4	39	3.2
663094	Súkromná stredná odborná škola	Hliník nad Hronom	Kopaničná 237	5	3.2
663099	Súkromná stredná odborná škola - Magán Szakközépiskola	Rimavská Sobota	Ul. L. Novomeského 2070	34	3.1
663110	Súkromná stredná odborná škola hutnícka ŽP	Podbrezová	Družby 554/64	54	3.3
663730	Stredná odborná škola drevárska	Zvolen	Lučenecká cesta 2193/17	60	2.6
664001	Spojená škola - Stredná odborná škola stavebná	Banská Bystrica	Kremnička 10	39	2.7
664002	Spojená škola - Stredná priemyselná škola stavebná	Banská Bystrica	Kremnička 10	24	2.4
664013	Stredná priemyselná škola stavebná O. Winklera	Lučenec	B. Nemcovej 1	45	3.1
664501	Stredná priemyselná škola J. Murgaša	Banská Bystrica	Hurbanova 6	81	2.4
664506	Stredná priemyselná škola S. Mikovíniho	Banská Štiavnica	Akademická 13	39	2.6
664701	Stredná odborná škola informačných technológií	Banská Bystrica	Tajovského 30	114	2.7
665305	Stredná odborná škola lesnícka	Banská Štiavnica	Akademická 16	37	2.6
